run	training_set	combo_name	m	precision	recall	f1	max_recall
10	240	basic	30	0.806	0.832	0.819	0.926
10	240	basic-type	30	0.923	0.884	0.903	0.926
10	240	str-type	30	0.894	0.884	0.889	0.926
10	240	str-type-lcd	30	0.912	0.874	0.892	0.926
10	280	basic	30	0.806	0.832	0.819	0.926
10	280	basic-type	30	0.912	0.874	0.892	0.926
10	280	str-type	30	0.884	0.884	0.884	0.926
10	280	str-type-lcd	30	0.913	0.884	0.898	0.926
10	320	basic	30	0.786	0.811	0.798	0.926
10	320	basic-type	30	0.865	0.874	0.869	0.926
10	320	str-type	30	0.867	0.895	0.881	0.926
10	320	str-type-lcd	30	0.892	0.874	0.883	0.926
